상품ID,상품명,노출수,클릭수,클릭율,CPC적용수수료,CPC클릭당수수료
20250901_LSR_KOTAKI_MKRP_0005,코타키나발루 말레이시아 날씨 여행 일정 직항,1,0,0.0,0,0.0
20250901_LSR_DANA_MKLKSH_0007,다낭 리조트 패키지 일정 여행 베트남 마사지 날씨 직항,2,0,0.0,0,0.0
20250902_LSR_FUKYO_MKLKSH_0002,후쿠오카 직항 일본여행 교토 해외 간사이공항 날씨,1,0,0.0,0,0.0
20250829_CS_SA4C_ML_0005,남미핵심일주 아르헨티나 브라질 볼리비아 페루 마추픽추 모레노빙하 스위트룸 패키지 일정,1,0,0.0,0,0.0
20250829_KTM__FRANCE_MKL_0011,프랑스 패키지 노르망디 직항 삘라사구 관광 오르세미술관,3,0,0.0,0,0.0
20250829_CS_NY_DMK_0008,미국 뉴욕 6박8일 2026년 하반기 여행 패키지 국적기 대한항공 아시아나항공,1,0,0.0,0,0.0
20250901_LSR_KOTAKI_NMKTF_0014,11월 패키지 동남아 항공권 리조트 여행 해외 직항,1,0,0.0,0,0.0
20250829_CS_LV_OT_0015,미서부패키지여행 대한항공 로스엔젤레스 그렌드캐년 서부 8대캐년 그리피스천문대 스타의거리 피,1,0,0.0,0,0.0
20250829_KTM_FRANCE_ML_0017,프랑스 가을 겨울 향수공방체험 여행 에스카르고 파리 패키지 항공권 날씨,1,0,0.0,0,0.0
20250829_LDW_SAIPAN_SNK_0010,사이판 패키지 자유여행 가족휴양 PIC 여행 리조트 자유 괌,1,0,0.0,0,0.0
20250902_LSR_FUKYO_MKLKLO_0013,후쿠오카 나라 교토 에어텔 해외 리조트 직항 여행 패키지 온천 간사이공항,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0014,11월 호주 투어 패키지 여행 시드니 6박7일 가족,1,0,0.0,0,0.0
20250829_CS_SF_SNK_0015,그랜드캐년 샌프란시스코여행 미국서부여행 미주여행 라스베가스여행 투어 대한항공,4,0,0.0,0,0.0
20250829_LDW_SAIPAN_DMK_0037,12월 사이판 PIC 패키지 리조트 가족 항공권 여행,1,0,0.0,0,0.0
20250829_LSR_SINGAP_MKLKSH_0020,싱가포르 여행 패키지 가족 날씨 버스 직항 리조트,1,0,0.0,0,0.0
20250829_LSR_BANGK_MMK_0019,방콕 해외 패키지 날씨 리조트 직항 태국 항공권,1,0,0.0,0,0.0
20250829_CS_LV_OT_0020,여행 아시아나항공 로스엔젤레스 서부 코카콜라스토어 피셔맨스워프 8대캐년 그리피스천문대 미서,2,0,0.0,0,0.0
20250901_LSR_DANA_MKRT_0017,다낭 마블마운틴 해외 일정 패키지 항공권 직항,1,0,0.0,0,0.0
20250901_LSR_NHATR_MMK_0007,나트랑 패키지 동남아 일정 베트남 리조트 항공권 날씨,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MKLK_16,태국 리조트 허니문 여행 쇼핑 요트 에어텔 여행지 호텔,1,0,0.0,0,0.0
20250829_KTM__MAKAO_CMK_0013,마카오 비행시간 패키지 관광 홍콩 날씨 항공권 여행,2,0,0.0,0,0.0
20250829_LDW_SAIPAN_DMK_0045,연말연초 사이판 여행 항공권 리조트 패키지 가족 PIC,1,0,0.0,0,0.0
20250902_LSR_OSAK_MRR_0019,일본여행 일정 리조트 항공권 오사카 도톤보리,1,0,0.0,0,0.0
20250902_LSR_TOKY_MRRRRR_0011,일본 센소지 디즈니랜드 리조트 도쿄타워 긴자 메이지신궁,1,0,0.0,0,0.0
20250901_LSR_DANA_MKRT_0001,다낭 골든브릿지 동남아 마블마운틴 날씨 패키지 여행,1,0,0.0,0,0.0
20250829_CS_NY_DMK_0011,뉴욕 패키지여행 8박10일 2026년 6월 미국동부여행 국적기 대한항공 아시아나항공,1,0,0.0,0,0.0
20250902_LSR_TOKY_OTMR_0006,10월도쿄여행 하코네신사 항공권 해외 오와쿠다니 후지산,1,0,0.0,0,0.0
20250829_CS_NG_CMK_0015,캐나다 나이아가라 미국 미동부 패키지 인천출발 하반기 나이아가라파크 효도여행,1,0,0.0,0,0.0
20250829_CS_SA4C_CMK_0014,남미여행 남미일주 패키지 노쇼핑 노옵션 노팁 아르헨티나 브라질 볼리비아 페루 핵심투어,1,0,0.0,0,0.0
20250829_LSR_SINGAP_ICSTMD_0004,인천출발 싱가포르 항공권 여행 날씨 해외 날짜,2,0,0.0,0,0.0
20250829_CS_HL_MKL_0017,알로하타워 진주만 와이키키해변 하와이 대한항공 졸업여행,4,0,0.0,0,0.0
20250902_LSR_BEPP_MRFO_0001,일본여행 벳부 직항 항공권 리조트 유후인 온천 지옥순례,1,0,0.0,0,0.0
20250829_CS_HL_GPT_0007,하와이 패키지 와이키키 진주만 애리조나기념관 인천출발 아시아나항공,4,0,0.0,0,0.0
20250829_LDW_QZT_GPT_0010,뉴질랜드 퀸즈타운 패키지여행 남북섬 일주 일정,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0034,12월 호주 여행 가족 6박7일 패키지 투어 시드니,16,1,6.25,53,53.0
20250829_LDW_SYDNEY_DMK_0018,11월 호주 패키지 투어 여행 6박7일 가족 시드니,4,0,0.0,0,0.0
20250829_LDW_SYDNEY_GPT_0006,호주 시드니 가족여행 패키지 4박5일 특가,1,0,0.0,0,0.0
20250829_KTM_FRANCE_ML_0010,프랑스 파리 가을 비행시간 에스카르고 부르기뇽 관광 가볼만한곳 패키지,1,0,0.0,0,0.0
20250829_LSR_SINGAP_ICSTMD_0020,인천출발 싱가포르 날짜 날씨 여행 항공권 해외,1,0,0.0,0,0.0
20250829_CS_LV_SNK_0012,모두투어 미주여행 LA직항 라스베가스여행 미국그랜드캐년 아시아나항공 미국서부여행,1,0,0.0,0,0.0
20250829_KTM__ENGLAND_DMK_0013,11월 런던 비행시간 관광 항공권 영국 가격 날씨,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MKLKLN_01,태국 패키지 여행지 날씨 푸껫 쇼핑 요트 에어텔 디저트 리조트 허니문,1,0,0.0,0,0.0
20250902_LSR_BEPP_DMKRT_0020,12월 온천 일본여행 리조트 벳부 다케산 유후인 패키지,1,0,0.0,0,0.0
20250902_LSR_VANGV_MKR_0014,방비엥 일정 탐푸캄동굴 항공권 패키지 라오스 블루라군,1,0,0.0,0,0.0
20250829_CS_LV_ML_0014,미국그랜드캐년여행 스타의거리 럭셔리 돌비극장 피어39 자이언캐년 노팁 투어 부모님 아시아나,1,0,0.0,0,0.0
20250901_LSR_KOTAKI_MKRP_0002,코타키나발루 여행 직항 동남아 일정 사피섬,1,0,0.0,0,0.0
20250829_CS_SA4C_DMK_0006,남미핵심일주 13일 투어 패키지 마추픽추 우유니소금사막 소금호수 아르헨티나 브라질,1,0,0.0,0,0.0
20250902_LSR_VANGV_MKLKLO_0012,방비엥 해외 항공권 카약 날씨 직항 관광지 체험 요가 일정 리조트 열기구,1,0,0.0,0,0.0
20250829_KTM_ITALY_ML_0012,이탈리아 가격 힐링 관광 패키지 겨울 직항 가볼만한곳,1,0,0.0,0,0.0
20250829_CS_SA3C_MKL_0015,멕시코 쿠바 칸쿤 패키지 여행 메트로폴리타나대성당 리비에라마야,1,0,0.0,0,0.0
20250901_LSR_BALI_MKLKSH_0004,발리 해외 직항 항공권 리조트 야경 패키지 에어텔,1,0,0.0,0,0.0
